Βίβλος	[The] book
τὸ	the
πάσχα,	Passover,
Ἦν	Was
ἐγγὺς	near
οὖν	then
ὁ	-
Ἰησοῦς	Jesus
ἐπάρας	Having lifted up
τοὺς	the
ὀφθαλμοὺς	eyes
καὶ	and
θεασάμενος	having seen
ὅτι	that
πολὺς	a great
ὄχλος	crowd
ἔρχεται	is coming
πρὸς	to
αὐτὸν,	Him,
λέγει	He says
πρὸς	to
Φίλιππον	Philip,
“Πόθεν	From where
ἀγοράσωμεν	shall we buy
ἄρτους	bread
ἵνα	that
οὗτοι;	these?
φάγωσιν	might eat
δὲ	now
ἔλεγεν	He was saying
τοῦτο	This
πειράζων	testing
αὐτόν·	him;
γὰρ	for
αὐτὸς	He
ᾔδει	knew
τί	what
ἔμελλεν	He was about
ποιεῖν.	to do.
Φίλιππος	Philip,
Ἀπεκρίθη	Answered
αὐτῷ	Him
ὁ	-
“Διακοσίων	Two hundred
δηναρίων	denarii worth
οὐκ	not
ἀρκοῦσιν	are sufficient
ἄρτοι	of loaves
αὐτοῖς,	for them
ἵνα	that
ἕκαστος	each
λάβῃ.	might receive.
τι	one
βραχύ	little [piece]
εἷς	one
ἐκ	of
αὐτοῦ,	of Him,
τῶν	the
μαθητῶν	disciples
Ἀνδρέας	Andrew,
Σίμωνος	of Simon
Πέτρου	Peter,
ὁ	the
ἀδελφὸς	brother
Λέγει	Says
αὐτῷ	to Him
ὧδε	here,
“Ἔστιν	Is
παιδάριον	a little boy
ὃς	who
ἔχει	has
πέντε	five
κριθίνους	barley
ἄρτους	loaves
καὶ	and
δύο	two
ὀψάρια·	small fish;
ἀλλὰ	but
τί	what
ἐστιν	are
ταῦτα	these
εἰς	for
τοσούτους;	so many?
“Ποιήσατε	Make
τοὺς	the
ἀνθρώπους	men
ἀναπεσεῖν.	to recline.
ὁ	-
Ἰησοῦς	Jesus,
Εἶπεν	Said
δὲ	now
ἦν	There was
πολὺς	much
χόρτος	grass
ἐν	in
τῷ	the
τόπῳ.	place.
οὖν	therefore
οἱ	the
ἄνδρες	men,
ἀνέπεσαν	Reclined
ὡς	about
πεντακισχίλιοι.	five thousand.
τὸν	the
ἀριθμὸν	number
οὖν	then
ὁ	-
Ἰησοῦς	Jesus,
Ἔλαβεν	Took
τοὺς	the
ἄρτους	loaves
ὁμοίως	likewise
καὶ	also
ἐκ	of
τῶν	the
ὀψαρίων	fish,
καὶ	and
εὐχαριστήσας	having given thanks,
διέδωκεν	He distributed
τοῖς	to those
ἀνακειμένοις,	reclining;
ὅσον	as much as
ἤθελον.	they wished.
δὲ	now
Ὡς	When
ἐνεπλήσθησαν,	they were filled,
λέγει	He says
τοῖς	to the
αὐτοῦ	of Him,
μαθηταῖς	disciples
“Συναγάγετε	Gather together
τὰ	the
κλάσματα,	fragments,
περισσεύσαντα	having been over and above
ἵνα	so that
μή	nothing
τι	anything
ἀπόληται.	may be lost.
οὖν,	therefore,
συνήγαγον	They gathered together
καὶ	and
ἐγέμισαν	filled
δώδεκα	twelve
κοφίνους	hand-baskets
κλασμάτων	of fragments
ἐκ	from
τῶν	the
πέντε	five
τῶν	-
κριθίνων	barley
ἄρτων	loaves
ἃ	which
ἐπερίσσευσαν	were over and above
τοῖς	to those
βεβρωκόσιν.	having eaten.
οὖν	therefore
Οἱ	The
ἄνθρωποι	people,
ἰδόντες	having seen
σημεῖον	[the] sign,
ὃ	what
ἐποίησεν	He had done,
ἔλεγον	were saying
ὅτι	-,
ἀληθῶς	truly
“Οὗτός	This
ἐστιν	is
ὁ	the
προφήτης	prophet
ὁ	who
ἐρχόμενος	is coming
εἰς	into
τὸν	the
κόσμον.	world.
γνοὺς	having known
ὅτι	that
μέλλουσιν	they are about
ἔρχεσθαι	to come
καὶ	and
ἵνα	that
ποιήσωσιν	they might make [Him]
αὐτὸν	Him
βασιλέα,	king,
ἁρπάζειν	to seize
οὖν	therefore,
Ἰησοῦς	Jesus
ἀνεχώρησεν	withdrew
πάλιν	again
εἰς	to
τὸ	the
ὄρος	mountain
αὐτὸς	Himself
μόνος.	alone.
δὲ	now
Ὡς	When
ὀψία	evening
ἐγένετο,	it became,
αὐτοῦ	of Him
οἱ	the
μαθηταὶ	disciples
κατέβησαν	went down
ἐπὶ	to
τὴν	the
θάλασσαν,	sea,
καὶ	and
ἐμβάντες	having entered
εἰς	into
πλοῖον	a boat,
ἤρχοντο	they were going
πέραν	over
τῆς	the
θαλάσσης	sea
εἰς	to
Καφαρναούμ.	Capernaum.
καὶ	And
ἐγεγόνει	it had become,
ἤδη	already
σκοτία	dark
καὶ	and
ὁ	-
Ἰησοῦς,	Jesus.
οὔπω	not
ἐληλύθει	had come
πρὸς	to
αὐτοὺς	them
μεγάλου	strong
ἀνέμου	by a wind
πνέοντος	blowing
τε	And
ἥ	-
θάλασσα	the sea
διεγείρετο.	was agitated.
οὖν	therefore
Ἐληλακότες	Having rowed
ὡς	about
εἴκοσι	twenty
πέντε	five
ἢ	or
τριάκοντα	thirty,
σταδίους	stadia
θεωροῦσιν	they see
τὸν	-
Ἰησοῦν	Jesus
γινόμενον,	coming,
ἐγγὺς	near
τοῦ	the
πλοίου	boat
καὶ	and
περιπατοῦντα	walking
ἐπὶ	on
τῆς	the
θαλάσσης	sea,
καὶ	and
ἐφοβήθησαν.	they were frightened.
δὲ	And
ὁ	-
λέγει	He says
αὐτοῖς	to them,
εἰμι,	am [He];
“Ἐγώ	I
μὴ	not
φοβεῖσθε.	fear.
οὖν	then
ἤθελον	They were willing
λαβεῖν	to receive
αὐτὸν	Him
εἰς	into
τὸ	the
πλοῖον,	boat,
καὶ	and
εὐθέως	immediately
τὸ	the
πλοῖον	boat
ἐγένετο	was
ἐπὶ	at
τῆς	the
γῆς	land
εἰς	to
ἣν	which
ὑπῆγον.	they were going.
Τῇ	On the
ἐπαύριον	next day
ὁ	the
ὄχλος	crowd
ὁ	-
ἑστηκὼς	standing
πέραν	on the other side
τῆς	of the
θαλάσσης	sea,
εἶδον	having seen
ὅτι	that
εἰ	if
μὴ	not
ἕν,	one,
οὐκ	no
ἄλλο	other
πλοιάριον	boat
ἦν	was
ἐκεῖ	there
καὶ	and
ὅτι	that
ὁ	-
Ἰησοῦς	Jesus
οὐ	not
συνεισῆλθεν	went with
εἰς	into
τὸ	the
πλοῖον	boat,
αὐτοῦ	of Him
τοῖς	the
μαθηταῖς	disciples
ἀλλὰ	but
αὐτοῦ	of Him
οἱ	the
μαθηταὶ	disciples
ἀπῆλθον·	went away;
μόνοι	alone
ἀλλὰ	but other
πλοιάρια	boats
ἐκ	from
Τιβεριάδος	Tiberias,
ἦλθεν	came
ἐγγὺς	near
τοῦ	the
τόπου	place
ὅπου	where
ἔφαγον	they ate
τὸν	the
ἄρτον	bread,
τοῦ	the
Κυρίου.	Lord.
εὐχαριστήσαντος	having given thanks
οὖν	therefore
ὅτε	When
ὁ	the
ὄχλος	crowd
εἶδεν	saw
ὅτι	that
οὐκ	not
Ἰησοῦς	Jesus
οὐδὲ	nor
αὐτοῦ,	of Him,
οἱ	the
μαθηταὶ	disciples
ἔστιν	is
ἐκεῖ	there,
αὐτοὶ	themselves
ἐνέβησαν	they entered
εἰς	into
τὰ	the
πλοιάρια	boats
καὶ	and
ἦλθον	came
εἰς	to
Καφαρναοὺμ	Capernaum,
ζητοῦντες	seeking
τὸν	-
Ἰησοῦν.	Jesus.
καὶ	And
εὑρόντες	having found
αὐτὸν	Him
πέραν	on the other side
τῆς	of the
θαλάσσης	sea,
εἶπον	they said
αὐτῷ	to Him,
“Ῥαββί,	Rabbi,
πότε	when
γέγονας;	have You come?
ὧδε	here
ὁ	-
Ἰησοῦς	Jesus
Ἀπεκρίθη	Answered
αὐτοῖς	them
καὶ	and
εἶπεν	said,
“Ἀμὴν	Truly,
ἀμὴν	truly,
λέγω	I say
ὑμῖν,	to you,
οὐχ	not
ὅτι	because
εἴδετε	you saw
σημεῖα,	signs,
ζητεῖτέ	you seek
με	Me,
ἀλλ’	but
ὅτι	because
ἐφάγετε	you ate
ἐκ	of
τῶν	the
ἄρτων	loaves
καὶ	and
ἐχορτάσθητε.	were satisfied.
μὴ	not [for]
ἐργάζεσθε	Work
τὴν	the
βρῶσιν	food
τὴν	that
ἀπολλυμένην,	is perishing,
ἀλλὰ	but [for]
τὴν	the
βρῶσιν	food
τὴν	-
μένουσαν	enduring
εἰς	unto
αἰώνιον,	eternal,
ζωὴν	life
ἣν	which
ὁ	the
Υἱὸς	Son
τοῦ	-
ἀνθρώπου	of Man
δώσει·	will give.
ὑμῖν	to you
γὰρ	for
ὁ	-
Θεός.	God.
ὁ	the
Πατὴρ	Father
ἐσφράγισεν	has sealed,
τοῦτον	Him
οὖν	therefore
Εἶπον	They said
πρὸς	to
αὐτόν	Him,
“Τί	What
ποιῶμεν	must we do,
ἵνα	that
ἐργαζώμεθα	we may be doing
τὰ	the
ἔργα	works
τοῦ	-
Θεοῦ;	of God?
‹ὁ›	-
Ἰησοῦς	Jesus
Ἀπεκρίθη	Answered
καὶ	and
εἶπεν	said
αὐτοῖς	to them,
“Τοῦτό	This
ἐστιν	is
τὸ	the
ἔργον	work
τοῦ	-
Θεοῦ,	of God,
ἵνα	that
πιστεύητε	you should believe
εἰς	in
ὃν	Him whom
ἐκεῖνος.	He.
ἀπέστειλεν	has sent
οὖν	therefore
Εἶπον	They said
αὐτῷ	to Him,
“Τί	What
σημεῖον,	[as a] sign,
οὖν	then
σὺ	You
ποιεῖς	do
ἵνα	that
ἴδωμεν	we may see
καὶ	and
πιστεύσωμέν	may believe
σοι;	You?
τί	What
ἐργάζῃ;	work do You perform?
ἡμῶν	of us
οἱ	The
πατέρες	fathers
ἔφαγον	ate
τὸ	the
μάννα	manna
ἐν	in
τῇ	the
ἐρήμῳ,	wilderness,
καθώς	as
ἐστιν	it is
γεγραμμένον	written:
ἔδωκεν	He gave
αὐτοῖς	them
‘Ἄρτον	Bread
ἐκ	from
τοῦ	-
οὐρανοῦ	heaven
φαγεῖν.’	to eat.’
οὖν	therefore
ὁ	-
Ἰησοῦς	Jesus,
Εἶπεν	Said
αὐτοῖς	to them
“Ἀμὴν	Truly,
ἀμὴν	truly,
λέγω	I say
ὑμῖν,	to you,
οὐ	not
Μωϋσῆς	Moses
δέδωκεν	has given
ὑμῖν	you
τὸν	the
ἄρτον	bread
ἐκ	from
τοῦ	-
οὐρανοῦ,	heaven,
ἀλλ’	but
μου	of Me
ὁ	the
Πατήρ	Father
δίδωσιν	gives
ὑμῖν	you
τὸν	the
τὸν	-
ἀληθινόν·	true.
ἄρτον	bread
ἐκ	from
τοῦ	-
οὐρανοῦ	heaven
γὰρ	for
ὁ	The
ἄρτος	bread
τοῦ	-
Θεοῦ	of God
ἐστιν	is
ὁ	the [One]
καταβαίνων	coming down
ἐκ	out of
τοῦ	-
οὐρανοῦ	heaven
καὶ	and
διδοὺς	giving
ζωὴν	life
τῷ	to the
κόσμῳ.	world.
“Κύριε,	Sir,
οὖν	therefore
Εἶπον	They said
πρὸς	to
αὐτόν	Him,
δὸς	give
ἡμῖν	to us
τοῦτον.	this.
τὸν	the
ἄρτον	bread
πάντοτε	always
ὁ	-
Ἰησοῦς	Jesus,
Εἶπεν	Said
αὐτοῖς	to them
“Ἐγώ	I
εἰμι	am
ὁ	the
ἄρτος	bread
τῆς	-
ζωῆς·	of life;
ὁ	the [one]
ἐρχόμενος	coming
πρὸς	to
ἐμὲ	Me
οὐ	never
μὴ	not
πεινάσῃ,	shall hunger,
καὶ	and
ὁ	the [one]
πιστεύων	believing
εἰς	in
ἐμὲ	Me
οὐ	no
μὴ	not
πώποτε.	at any time.
διψήσει	shall thirst
ἀλλ’	But
εἶπον	I said
ὑμῖν	to you
ὅτι	that
καὶ	also
ἑωράκατέ	you have seen
με	Me,
καὶ	and yet
οὐ	not
πιστεύετε.	believe.
Πᾶν	All
ὃ	that
ὁ	the
Πατὴρ	Father,
δίδωσίν	gives
μοι	Me
ἥξει,	will come,
πρὸς	to
ἐμὲ	Me
καὶ	and
τὸν	the [one]
ἐρχόμενον	coming
πρός	to
με	Me,
οὐ	no
μὴ	not
ἐκβάλω	shall I cast
ἔξω,	out.
ὅτι	For
καταβέβηκα	I have come down
ἀπὸ	from
τοῦ	-
οὐρανοῦ	heaven,
οὐχ	not
ἵνα	that
ποιῶ	I should do
τὸ	-
ἐμὸν	of Me,
τὸ	the
θέλημα	will
ἀλλὰ	but
τὸ	the
θέλημα	will
τοῦ	of the [One]
πέμψαντός	having sent
με.	Me.
δέ	now
Τοῦτο	This
ἐστιν	is
τὸ	the
θέλημα	will
τοῦ	of the [One]
πέμψαντός	having sent
με,	Me,
ἵνα	that
ἀπολέσω	I should lose
μὴ	none
ἐξ	of
αὐτοῦ,	it,
πᾶν	all
ὃ	that
δέδωκέν	He has given
μοι	Me,
ἀλλὰ	but
ἀναστήσω	will raise up
αὐτὸ	it
ἐν	in
τῇ	the
ἐσχάτῃ	last
ἡμέρᾳ.	day.
γάρ	for
τοῦτο	This
ἐστιν	is
τοῦ	of the
μου,	of Me,
Πατρός	Father
τὸ	the
θέλημα	will
ἵνα	that
πᾶς	everyone
ὁ	-
θεωρῶν	beholding
τὸν	the
Υἱὸν	Son
καὶ	and
πιστεύων	believing
εἰς	in
αὐτὸν	Him
ἔχῃ	should have
αἰώνιον,	eternal,
ζωὴν	life
καὶ	and
ἐγὼ	I
ἀναστήσω	will raise up
αὐτὸν	him
ἐν	in
τῇ	the
ἐσχάτῃ	last
ἡμέρᾳ.	day.
οὖν	therefore
οἱ	the
Ἰουδαῖοι	Jews
Ἐγόγγυζον	Were grumbling
περὶ	about
αὐτοῦ	Him
ὅτι	because
εἶπεν	He said,
“Ἐγώ	I
εἰμι	am
ὁ	the
ἄρτος	bread
ὁ	-
καταβὰς	having come down
ἐκ	from
τοῦ	-
οὐρανοῦ,	heaven.
καὶ	And
ἔλεγον	they were saying,
ἐστιν	is
οὗτός	this
“Οὐχ	Not
Ἰησοῦς	Jesus
ὁ	the
υἱὸς	son
Ἰωσήφ,	of Joseph,
οὗ	of whom
τὸν	the
πατέρα	father
καὶ	and
τὴν	the
μητέρα;	mother?
ἡμεῖς	we
οἴδαμεν	know
πῶς	How
νῦν	then
λέγει	says He
ὅτι	-,
καταβέβηκα;	I have come down?
‘Ἐκ	From
τοῦ	-
οὐρανοῦ	heaven
“Μὴ	Not
γογγύζετε	grumble
μετ’	with
ἀλλήλων.	one another.
Ἰησοῦς	Jesus
Ἀπεκρίθη	Answered
καὶ	and
εἶπεν	said
αὐτοῖς	to them,
οὐδεὶς	No one
δύναται	is able
ἐλθεῖν	to come
πρός	to
με	Me,
ἐὰν	if
μὴ	not
ὁ	the
Πατὴρ	Father,
ὁ	the [one]
πέμψας	having sent
με	Me,
ἑλκύσῃ	draws
αὐτόν,	him,
κἀγὼ	and I
ἀναστήσω	will raise up
αὐτὸν	him
ἐν	in
τῇ	the
ἐσχάτῃ	last
ἡμέρᾳ.	day.
ἔστιν	It is
γεγραμμένον	written
ἐν	in
τοῖς	the
προφήταις	prophets:
‘Καὶ	And
ἔσονται	they will be
πάντες	all
διδακτοὶ	taught
Θεοῦ·’	of God.’
πᾶς	Everyone
ὁ	-
ἀκούσας	having heard
τοῦ	the
Πατρὸς	Father
καὶ	and
μαθὼν	having learned,
παρὰ	from
ἔρχεται	comes
πρὸς	to
ἐμέ.	Me.
οὐχ	Not
ὅτι	that
τις,	anyone,
ἑώρακέν	has seen
τὸν	the
Πατέρα	Father
εἰ	if
μὴ	not
ὁ	the [One]
ὢν	being
παρὰ	from
τοῦ	-
Θεοῦ,	God;
οὗτος	He
ἑώρακεν	has seen
τὸν	the
Πατέρα.	Father.
Ἀμὴν	Truly,
ἀμὴν	truly,
λέγω	I say
ὑμῖν,	to you,
ὁ	the [one]
πιστεύων	believing
ἔχει	has
αἰώνιον.	eternal.
ζωὴν	life
ἐγώ	I
εἰμι	am
ὁ	the
ἄρτος	bread
τῆς	-
ζωῆς.	of life.
ὑμῶν	of You
οἱ	The
πατέρες	fathers
ἔφαγον	ate
τὸ	the
μάννα	manna,
ἐν	in
τῇ	the
ἐρήμῳ	wilderness
καὶ	and
ἀπέθανον·	died.
οὗτός	This
ἐστιν	is
ὁ	the
ἄρτος	bread
ὁ	-
καταβαίνων,	coming down,
ἐκ	from
τοῦ	-
οὐρανοῦ	heaven
ἵνα	that
τις	anyone
φάγῃ	may eat,
ἐξ	of
αὐτοῦ	it
καὶ	and
μὴ	not
ἀποθάνῃ.	die.
ἐγώ	I
εἰμι	am
ὁ	the
ὁ	-
ζῶν	living,
ἄρτος	bread
ὁ	-
καταβάς·	having come down;
ἐκ	from
τοῦ	-
οὐρανοῦ	heaven
ἐάν	if
τις	anyone
φάγῃ	shall have eaten
ἐκ	of
τούτου	this
τοῦ	-
ἄρτου,	bread,
ζήσει	he will live
εἰς	to
τὸν	the
αἰῶνα·	age;
καὶ	and
ὁ	the
ἄρτος	bread
ὃν	that
ἐγὼ	I
δὲ	also
δώσω	will give,
ὑπὲρ	for
τῆς	the
ζωῆς.	life.
τοῦ	of the
κόσμου	world
ἐστιν	is
μού	of Me
ἡ	the
σάρξ	flesh
οὖν	therefore
οἱ	the
Ἰουδαῖοι	Jews,
Ἐμάχοντο	Were arguing
πρὸς	with
ἀλλήλους	one another
λέγοντες	saying,
“Πῶς	How
δύναται	is able
οὗτος	this [man]
δοῦναι	to give
ἡμῖν	us
‹αὐτοῦ›	of Him
τὴν	the
σάρκα	flesh
φαγεῖν;	to eat?
οὖν	therefore
ὁ	-
Ἰησοῦς	Jesus,
Εἶπεν	Said
αὐτοῖς	to them
“Ἀμὴν	Truly,
ἀμὴν	truly,
λέγω	I say
ὑμῖν,	to you,
ἐὰν	if
μὴ	not
φάγητε	you shall have eaten
τὴν	the
σάρκα	flesh
καὶ	and
πίητε	shall have drunk
αὐτοῦ	of Him
τὸ	the
αἷμα,	blood,
τοῦ	of the
Υἱοῦ	Son
τοῦ	-
ἀνθρώπου	of Man,
ἔχετε	you have
οὐκ	not
ζωὴν	life
ἐν	in
ἑαυτοῖς.	yourselves.
ὁ	The [one]
τρώγων	eating
μου	of Me
τὴν	the
σάρκα	flesh,
καὶ	and
πίνων	drinking
μου	of Me
τὸ	the
αἷμα	blood,
ἔχει	has
αἰώνιον,	eternal,
ζωὴν	life
κἀγὼ	and I
ἀναστήσω	will raise up
αὐτὸν	him
τῇ	in the
ἐσχάτῃ	last
ἡμέρᾳ.	day.
γὰρ	for
μου	of Me,
ἡ	The
σάρξ	flesh
ἐστιν	is
ἀληθής	true
βρῶσις,	food,
καὶ	and
μου	of Me,
τὸ	the
αἷμά	blood
ἐστιν	is
ἀληθής	true
πόσις.	drink.
Ὁ	The [one]
τρώγων	eating
μου	of Me
τὴν	the
σάρκα	flesh
καὶ	and
πίνων	drinking
μου	of Me
τὸ	the
αἷμα	blood,
μένει	abides,
ἐν	in
ἐμοὶ	Me
κἀγὼ	and I
ἐν	in
αὐτῷ.	him.
καθὼς	As
ὁ	the
ζῶν	living
Πατὴρ	Father,
ἀπέστειλέν	sent
με	Me
κἀγὼ	and I
ζῶ	live
διὰ	because of
τὸν	the
Πατέρα,	Father,
καὶ	also
κἀκεῖνος	he also
ὁ	the [one]
τρώγων	feeding on
με	Me,
ζήσει	will live
δι’	because of
ἐμέ.	Me.
οὗτός	This
ἐστιν	is
ὁ	the
ἄρτος	bread
ὁ	-
καταβάς,	having come down,
ἐξ	from
οὐρανοῦ	heaven
οὐ	not
καθὼς	as
οἱ	the
πατέρες	fathers
ἔφαγον	ate
καὶ	and
ἀπέθανον·	died.
ὁ	The [one]
τρώγων	eating
τοῦτον	this
τὸν	-
ἄρτον	bread
ζήσει	will live
εἰς	to
τὸν	the
αἰῶνα.	age.
εἶπεν	He said
Ταῦτα	These things
διδάσκων	teaching
ἐν	in
συναγωγῇ	[the] synagogue,
ἐν	in
Καφαρναούμ.	Capernaum.
ἀκούσαντες	having heard,
οὖν	therefore,
Πολλοὶ	Many
ἐκ	of
αὐτοῦ	of Him,
τῶν	the
μαθητῶν	disciples
εἶπαν	said,
οὗτος·	this;
ἐστιν	is
“Σκληρός	Difficult
ὁ	the
λόγος	word
τίς	who
δύναται	is able
ἀκούειν;	to hear?
αὐτοῦ	it
δὲ	however
Εἰδὼς	Knowing
ἐν	in
ἑαυτῷ	Himself
ὅτι	that
αὐτοῦ,	of Him,
οἱ	the
μαθηταὶ	disciples
γογγύζουσιν	are grumbling
περὶ	about
τούτου	this
ὁ	-
Ἰησοῦς	Jesus
εἶπεν	He said
αὐτοῖς	to them,
“Τοῦτο	This
σκανδαλίζει;	does offend?
ὑμᾶς	you
οὖν	then
ἐὰν	What if
θεωρῆτε	you should see
τὸν	the
Υἱὸν	Son
τοῦ	-
ἀνθρώπου	of Man
ἀναβαίνοντα	ascending
ὅπου	where
ἦν	He was
τὸ	-
πρότερον;	before?
Τὸ	The
πνεῦμά	Spirit
τὸ	-
ἐστιν	it is
ζωοποιοῦν,	giving life;
ἡ	the
σὰρξ	flesh
ὠφελεῖ	profits
οὐκ	not
οὐδέν·	nothing.
τὰ	The
ῥήματα	words
ἃ	that
ἐγὼ	I
λελάληκα	speak
ὑμῖν	to you
ἐστιν	are,
πνεῦμά	spirit
καὶ	and
ἐστιν.	they are.
ζωή	life
ἀλλ’	But
εἰσὶν	they are
τινες	some
ἐξ	of
ὑμῶν	you
οἳ	who
οὐ	not
πιστεύουσιν.	believe.
γὰρ	for
ὁ	-
Ἰησοῦς	Jesus
ᾔδει	Knew
ἐξ	from
ἀρχῆς	[the] beginning
τίνες	who
εἰσὶν	are
οἱ	those
μὴ	not
πιστεύοντες	believing
καὶ	and
τίς	who
ἐστιν	it is
ὁ	who
παραδώσων	will betray
αὐτόν.	Him.
Καὶ	And
ἔλεγεν	He was saying,
τοῦτο	this
“Διὰ	Because of
εἴρηκα	have I said
ὑμῖν	to you
ὅτι	that
οὐδεὶς	no one
δύναται	is able
ἐλθεῖν	to come
πρός	to
με	Me,
ἐὰν	if
μὴ	not
ἐκ	from
τοῦ	the
Πατρός.	Father.
ᾖ	it shall
δεδομένον	have been granted
αὐτῷ	to him
Ἐκ	From
τούτου	that [time],
πολλοὶ	many
‹ἐκ›	out of
αὐτοῦ	of Him
τῶν	the
μαθητῶν	disciples
ἀπῆλθον	departed
εἰς	to
τὰ	the
ὀπίσω	back
καὶ	and
οὐκέτι	no longer
περιεπάτουν.	walked.
μετ’	with
αὐτοῦ	Him
οὖν	therefore
ὁ	-
Ἰησοῦς	Jesus
εἶπεν	Said
τοῖς	to the
δώδεκα	Twelve,
“Μὴ	Not
ὑμεῖς	you
θέλετε	are wishing
ὑπάγειν;	to go away?
καὶ	also
Σίμων	Simon
Πέτρος	Peter,
Ἀπεκρίθη	Answered
αὐτῷ	Him
“Κύριε,	Lord,
πρὸς	to
τίνα	whom
ἀπελευσόμεθα;	will we go?
ἔχεις·	You have;
ῥήματα	[The] words
αἰωνίου	eternal
ζωῆς	of life
καὶ	and
ἡμεῖς	we
πεπιστεύκαμεν	have believed
καὶ	and
ἐγνώκαμεν	have known
ὅτι	that
σὺ	You
εἶ	are
ὁ	the
Ἅγιος	Holy One
τοῦ	-
Θεοῦ.	of God.
ὁ	-
Ἰησοῦς	Jesus,
Ἀπεκρίθη	Answered
αὐτοῖς	them
ἐγὼ	I
“Οὐκ	Not
ἐξελεξάμην;	did choose,
ὑμᾶς	you
τοὺς	the
δώδεκα	Twelve
καὶ	and
εἷς	one
ἐξ	of
ὑμῶν	you
ἐστιν.	is?
διάβολός	a devil
δὲ	now
ἔλεγεν	He was speaking
τὸν	-
Ἰούδαν	of Judas
Σίμωνος	[son] of Simon
Ἰσκαριώτου·	Iscariot;
γὰρ	for
οὗτος	he
εἷς	one
ἐκ	of
τῶν	the
δώδεκα.	Twelve.
ἔμελλεν	was about
παραδιδόναι	to betray
αὐτόν,	Him,
Καὶ	And
μετὰ	after
ταῦτα	these things,
ὁ	-
Ἰησοῦς	Jesus
περιεπάτει	was walking
ἐν	in
τῇ	-
Γαλιλαίᾳ·	Galilee;
γὰρ	for
οὐ	not
ἤθελεν	He did desire
περιπατεῖν,	to walk,
ἐν	in
τῇ	-
Ἰουδαίᾳ	Judea
ὅτι	because
οἱ	the
Ἰουδαῖοι	Jews
ἐζήτουν	were seeking
ἀποκτεῖναι.	to kill.
αὐτὸν	Him
δὲ	now
ἡ	the
τῶν	of the
Ἰουδαίων	Jews,
ἑορτὴ	feast
ἡ	of
σκηνοπηγία.	Booths.
ἦν	Was
ἐγγὺς	near
οὖν	therefore
αὐτοῦ	of Him,
οἱ	the
ἀδελφοὶ	brothers
εἶπον	Said
πρὸς	to
αὐτὸν	Him
“Μετάβηθι	Depart
ἐντεῦθεν	from here
καὶ	and
ὕπαγε	go
εἰς	into
τὴν	-
Ἰουδαίαν,	Judea,
ἵνα	so that
σου	of You
οἱ	the
μαθηταί	disciples
καὶ	also
θεωρήσουσιν	will see
σοῦ	of You
«τὰ	the
ἔργα» ⇔	works
ἃ	that
ποιεῖς·	You are doing.
γάρ	for
οὐδεὶς	No one
αὐτὸς	himself
ζητεῖ	seeks
εἶναι.	to be.
ἐν	in
παρρησίᾳ	public
ποιεῖ	does
τι	anything
ἐν	in
κρυπτῷ	secret
καὶ	and
εἰ	If
ποιεῖς,	You do,
ταῦτα	these things
φανέρωσον	show
σεαυτὸν	Yourself
τῷ	to the
κόσμῳ.	world.
γὰρ	for
οὐδὲ	Not even
αὐτοῦ	of Him
οἱ	the
ἀδελφοὶ	brothers
ἐπίστευον	were believing
εἰς	in
αὐτόν.	Him.
οὖν	therefore
ὁ	-
Ἰησοῦς	Jesus,
Λέγει	Says
αὐτοῖς	to them
δὲ	but
ὁ	-
ὑμέτερος	of you
ὁ	-
καιρὸς	the time
ἐστιν	is
πάντοτέ	always
ἕτοιμος.	ready.
ὁ	-
ἐμὸς	of Me
“Ὁ	The
καιρὸς	time
οὔπω	not yet
πάρεστιν,	is come,
ὁ	the
κόσμος	world
οὐ	Not
δύναται	is able
μισεῖν	to hate
ὑμᾶς,	you;
δὲ	however
μισεῖ,	it hates,
ἐμὲ	Me
ὅτι	because
ἐγὼ	I
μαρτυρῶ	bear witness
περὶ	concerning
αὐτοῦ	it
ὅτι	that
αὐτοῦ	of it
τὰ	the
ἔργα	works
ἐστιν.	are.
πονηρά	evil
ἀνάβητε	go up
εἰς	to
τὴν	the
ἑορτήν·	feast.
ὑμεῖς	You
ἐγὼ	I
οὐκ	not
ἀναβαίνω	am going up
εἰς	to
ταύτην,	this,
τὴν	the
ἑορτὴν	feast
ὅτι	for
ἐμὸς	My
ὁ	-
καιρὸς	time
οὔπω	not yet
πεπλήρωται.	has been fulfilled.
δὲ	now
εἰπὼν	having said
Ταῦτα	These things
αὐτὸς*	to them,
ἔμεινεν	He remained
ἐν	in
τῇ	-
Γαλιλαίᾳ.	Galilee.
δὲ	however
Ὡς	When
αὐτοῦ	of Him
οἱ	the
ἀδελφοὶ	brothers
ἀνέβησαν	had gone up
εἰς	to
τὴν	the
ἑορτήν,	feast,
τότε	then
αὐτὸς	He
καὶ	also
ἀνέβη,	went up,
οὐ	not
φανερῶς	openly,
ἀλλὰ	but
ὡς	as
ἐν	in
κρυπτῷ.	secret.
οὖν	therefore
Οἱ	The
Ἰουδαῖοι	Jews
ἐζήτουν	were seeking
αὐτὸν	Him
ἐν	at
τῇ	the
ἑορτῇ	feast
καὶ	and
ἔλεγον	were saying,
“Ποῦ	Where
ἐστιν	is
ἐκεῖνος;	He?
καὶ	And
πολὺς	much
ἐν	among
τοῖς	the
ὄχλοις·	crowds.
ἦν	there was
γογγυσμὸς	murmuring
περὶ	about
αὐτοῦ	Him
